Bohemian Rhapsody;Queen;1977;5;55
Emozioni;Lucio Battisti;1970;4;44
Mi ritorni in mente;Lucio Battisti;1970;3;41
La sera dei Miracoli;Lucio Dalla;1980;5;17
Balla balla ballerino;Lucio Dalla;1980;5;49
Se bastasse una canzone;Eros Ramazzotti;1990;5;07
America;Gianna Nannini;1979;4;20
California;Gianna Nannini;1979;4;16
Abbi cura di me;Simone Cristicchi;2019;4;0
Spunta la luna dal monte;Tazenda;1991;3;55
La cura;Franco Battiato;1996;4;1
Io vagabondo;I nomadi;1972;3;13
Ritorno a casa;Afterhours;2002;3;2
Anna e Marco;Lucio Dalla;1979;3;40
Pensiero;Pooh;1971;3;57
Ci vorrebbe il mare;Marco Masini;1990;3;57
Io che amo solo te;Sergio Endrigo;1962;3;17
Another Brick In The Wall;Pink Floyd;1979;3;49
Dancing Queen;Abba;1976;3;50
Gloria;Umberto Tozzi;1979;5;44
Every Teardrop Is a Waterfall;Coldplay;2011;4;03
Eye in the sky;Alan Parson Project;1981;4;25
Goodbye Philadelphia;Peter Cincotti;2007;4;12
I migliori anni della nostra vita;Renato Zero;1995;4;25
Imagine;John Lennon;1971;5;50
